datetime,species,treatment ,pot,height_cm,leaves
27/07/2018,cotton,Tap,40,13,6
27/07/2018,cotton,Solari,41,13,6
27/07/2018,cotton,Cashido,42,11,6
27/07/2018,cotton,Tap,43,12,6
27/07/2018,cotton,Solari,44,11,6
27/07/2018,cotton,Cashido,45,11,6
27/07/2018,cotton,Solari,46,10,6
27/07/2018,cotton,Tap,47,12,6
27/07/2018,cotton,Cashido,48,13,6
27/07/2018,cotton,Solari,49,13,6
27/07/2018,cotton,Tap,50,13,6
27/07/2018,cotton,Cashido,51,12,6
27/07/2018,cotton,Solari,52,12,6
27/07/2018,cotton,Tap,53,13,6
27/07/2018,cotton,Cashido,54,12,6
27/07/2018,cotton,Solari,55,12,6
27/07/2018,cotton,Tap,56,13,6
27/07/2018,cotton,Cashido,57,12,5
27/07/2018,cotton,Solari,58,13,6
27/07/2018,cotton,Tap,59,12,6
27/07/2018,cotton,Cashido,60,5,4
30/07/2018,cotton,Tap,31,14,6
30/07/2018,cotton,Solari,32,13,7
30/07/2018,cotton,Cashido,33,14,6
30/07/2018,cotton,Tap,34,14,7
30/07/2018,cotton,Solari,35,15,7
30/07/2018,cotton,Cashido,36,15,7
30/07/2018,cotton,Tap,37,14,6
30/07/2018,cotton,Solari,38,13,7
30/07/2018,cotton,Cashido,39,14,6
30/07/2018,cotton,Tap,40,15,6
30/07/2018,cotton,Solari,41,15,6
30/07/2018,cotton,Cashido,42,14,6
30/07/2018,cotton,Tap,43,14,6
30/07/2018,cotton,Solari,44,13,6
30/07/2018,cotton,Cashido,45,13,6
30/07/2018,cotton,Solari,46,11,7
30/07/2018,cotton,Tap,47,14,6
30/07/2018,cotton,Cashido,48,15,6
30/07/2018,cotton,Solari,49,14,6
30/07/2018,cotton,Tap,50,15,7
30/07/2018,cotton,Cashido,51,14,7
30/07/2018,cotton,Solari,52,13,6
30/07/2018,cotton,Tap,53,14,6
30/07/2018,cotton,Cashido,54,14,7
30/07/2018,cotton,Solari,55,14,6
30/07/2018,cotton,Tap,56,15,7
30/07/2018,cotton,Cashido,57,14,6
30/07/2018,cotton,Solari,58,15,6
30/07/2018,cotton,Tap,59,14,6
30/07/2018,cotton,Cashido,60,7,5
